Q,qT,gamma_q,gamma_g
20.0,0.00010000000000000009,0.037736665904401535,0.030888047290758898
20.0,0.00012828748337322612,0.03773666588544845,0.030888047277666173
20.0,0.00016457678390235722,0.03773666585425601,0.0308880472561186
20.0,0.00021113141428492658,0.03773666580292052,0.030888047220656262
20.0,0.00027085517799643207,0.03773666571843422,0.030888047162293483
20.0,0.0003474732914376942,0.03773666557938942,0.030888047066241913
20.0,0.00044576474097953264,0.037736665350553984,0.030888046908163314
20.0,0.0005718603679678219,0.03773666497394391,0.030888046648002692
20.0,0.0007336252744747877,0.03773666435413116,0.030888046219838636
20.0,0.0009411494020136261,0.0377366633340634,0.0308880455151801
20.0,0.0012073768826254465,0.03773666165526877,0.030888044355475777
20.0,0.0015489134175502926,0.03773665889236287,0.030888042446871888
20.0,0.0019870620430054962,0.03773665434526194,0.03088803930575348
20.0,0.002549151888036361,0.03773664686179172,0.03088803413620323
20.0,0.00327024280452292,0.03773663454574296,0.030888025628327397
20.0,0.004195312194116457,0.03773661427640187,0.030888011626349122
20.0,0.005382060433482072,0.03773658091781532,0.030887988582370813
20.0,0.006904509883740282,0.037736526017443046,0.030887950657406498
20.0,0.00885762196910606,0.03773643566449225,0.03088788824192035
20.0,0.01136322031088014,0.03773628696536785,0.03088778552106343
20.0,0.014577589366983399,0.03773604224345038,0.03088761646785108
20.0,0.01870122253538597,0.037735639494270515,0.030887338249493648
20.0,0.02399132775067325,0.03773497667963608,0.030886880377455215
20.0,0.030777870599161098,0.03773388588670573,0.03088612685559438
20.0,0.03948415562753177,0.037732090819576874,0.030884886812672138
20.0,0.05065322958572845,0.037729136893794285,0.03088284620419059
20.0,0.06498175348279338,0.03772427633293663,0.030879488416640375
20.0,0.08336345619486918,0.03771627945612709,0.03087396384899007
20.0,0.10694488000533925,0.03770312516095626,0.03086487594618249
20.0,0.13719689515536607,0.037681494394336094,0.030849930876337077
20.0,0.1760064440610224,0.03764594425132529,0.0308253658828256
20.0,0.22579423766059042,0.037587569535459005,0.0307850216833468
20.0,0.2896657450965321,0.03749185576434508,0.030718851255832333
20.0,0.37160489457864476,0.03733529422392958,0.030610560000614816
20.0,0.47672256734667207,0.03708020229336997,0.030433970860539304
20.0,0.611575384321278,0.03666721061057743,0.030147687319012843
20.0,0.7845746694759025,0.03600543747986474,0.029687935307709506
20.0,1.0065110986544394,0.034962374296771924,0.028960686503896316
20.0,1.2912277583359881,0.033360487920840974,0.02783734258034077
20.0,1.6564835957857595,0.03099645765639951,0.026164246819054434
20.0,2.1250611175238725,0.027706753369618708,0.023802501332926634
20.0,2.7261874278143234,0.023489290320968564,0.02070858127481428
20.0,3.4973572431802777,0.018627655622128748,0.01702873794131409
20.0,4.486671591847214,0.013686695485859894,0.01312492107216838
20.0,5.755838072402239,0.00929965813720733,0.00946225430809017
20.0,7.384019810122833,0.005882259688971756,0.0064135450992625935
20.0,9.472773186187043,0.003508896581856325,0.004131182740305402
20.0,12.152382326213091,0.002004746829702807,0.0025625241672735262
20.0,15.589985456191474,0.0011129678252605577,0.0015501157418722313
20.0,19.999999999999996,0.000607417183095955,0.0009238896630152214
50.0,0.00010000000000000009,0.03197752141592353,0.02138871533424805
50.0,0.00012828748337322612,0.03197752140085011,0.021388715326799593
50.0,0.00016457678390235722,0.031977521376042775,0.021388715314541163
50.0,0.00021113141428492658,0.031977521335215656,0.021388715294366638
50.0,0.00027085517799643207,0.031977521268023695,0.021388715261164027
50.0,0.0003474732914376942,0.0319775211574413,0.021388715206520283
50.0,0.00044576474097953264,0.031977520975448384,0.021388715116589328
50.0,0.0005718603679678219,0.0319775206759303,0.021388714968583883
50.0,0.0007336252744747877,0.031977520182993026,0.021388714725001277
50.0,0.0009411494020136261,0.03197751937173278,0.02138871432412085
50.0,0.0012073768826254465,0.031977518036586876,0.021388713664364827
50.0,0.0015489134175502926,0.031977515839246864,0.02138871257855964
50.0,0.0019870620430054962,0.03197751222293596,0.021388710791576643
50.0,0.002549151888036361,0.03197750627132948,0.021388707850618166
50.0,0.00327024280452292,0.03197749647637143,0.021388703010485215
50.0,0.004195312194116457,0.03197748035615674,0.02138869504475511
50.0,0.005382060433482072,0.03197745382605896,0.02138868193502646
50.0,0.006904509883740282,0.03197741016376699,0.0213886603594939
50.0,0.00885762196910606,0.03197733830601408,0.02138862485127726
50.0,0.01136322031088014,0.031977220045493665,0.021388566413269593
50.0,0.014577589366983399,0.0319770254179152,0.02138847023861629
50.0,0.01870122253538597,0.03197670511093474,0.021388311959470083
50.0,0.02399132775067325,0.031976177973086044,0.021388051474172474
50.0,0.030777870599161098,0.031975310461989585,0.021387622790556112
50.0,0.03948415562753177,0.031973882836060424,0.02138691731668409
50.0,0.05065322958572845,0.03197153355502566,0.021385756378361234
50.0,0.06498175348279338,0.03196766788739357,0.02138384603556348
50.0,0.08336345619486918,0.03196130780080273,0.02138070284587964
50.0,0.10694488000533925,0.03195084573117354,0.02137553202680168
50.0,0.13719689515536607,0.03193364154577583,0.021367027853872553
50.0,0.1760064440610224,0.03190536517962308,0.021353047631420777
50.0,0.22579423766059042,0.03185893076185356,0.02133008177364277
50.0,0.2896657450965321,0.031782785318931736,0.021292399523751632
50.0,0.37160489457864476,0.03165820660380251,0.021230690593762612
50.0,0.47672256734667207,0.03145515692476806,0.02112995527853139
50.0,0.611575384321278,0.031126238451037087,0.02096635847172153
50.0,0.7845746694759025,0.03059870185510552,0.020702877177994617
50.0,1.0065110986544394,0.02976597127895652,0.02028413097713756
50.0,1.2912277583359881,0.02848396577400788,0.019632341099872053
50.0,1.6564835957857595,0.02658444406438222,0.01864947204567457
50.0,2.1250611175238725,0.023924067590961644,0.01723438367359248
50.0,2.7261874278143234,0.020478521147863332,0.015322946107680065
50.0,3.4973572431802777,0.016444761349607755,0.012944616864057911
50.0,4.486671591847214,0.012254911058913274,0.01026419343337262
50.0,5.755838072402239,0.00843449267897509,0.007569795147397143
50.0,7.384019810122833,0.005381586681915323,0.005188205357304102
50.0,9.472773186187043,0.0032253357799156787,0.003344822319880521
50.0,12.152382326213091,0.001848887656065102,0.002068538621602878
50.0,15.589985456191474,0.0010300442610248779,0.0012470897408638634
50.0,19.999999999999996,0.000564358656136444,0.0007409127123532556
100.0,0.00010000000000000009,0.02866320697030324,0.016907842841774108
100.0,0.00012828748337322612,0.02866320695739926,0.016907842836837335
100.0,0.00016457678390235722,0.028663206936162304,0.016907842828712535
100.0,0.00021113141428492658,0.028663206901211147,0.016907842815341037
100.0,0.00027085517799643207,0.02866320684368973,0.016907842793334654
100.0,0.0003474732914376942,0.028663206749022774,0.016907842757117222
100.0,0.00044576474097953264,0.02866320659322297,0.016907842697511725
100.0,0.0005718603679678219,0.02866320633681266,0.016907842599414965
100.0,0.0007336252744747877,0.028663205914820848,0.016907842437970444
100.0,0.0009411494020136261,0.02866320522032028,0.016907842172270274
100.0,0.0012073768826254465,0.0286632040773337,0.016907841734989493
100.0,0.0015489134175502926,0.028663202196243295,0.016907841015326896
100.0,0.0019870620430054962,0.028663199100405726,0.016907839830929472
100.0,0.002549151888036361,0.02866319400537723,0.016907837881686674
100.0,0.00327024280452292,0.028663185620146952,0.016907834673686662
100.0,0.004195312194116457,0.028663171820014797,0.016907829394066265
100.0,0.005382060433482072,0.02866314910822875,0.016907820705044648
100.0,0.006904509883740282,0.028663111729976504,0.016907806404953474
100.0,0.00885762196910606,0.028663050214253617,0.016907782870380653
100.0,0.01136322031088014,0.02866294897420386,0.01690774413809289
100.0,0.014577589366983399,0.028662782358071827,0.016907680394159914
100.0,0.01870122253538597,0.028662508150624696,0.016907575487584193
100.0,0.02399132775067325,0.028662056879727,0.01690740283880102
100.0,0.030777870599161098,0.028661314222118855,0.01690711870734244
100.0,0.03948415562753177,0.02866009206006707,0.016906651115557402
100.0,0.05065322958572845,0.028658080881601676,0.016905881629327456
100.0,0.06498175348279338,0.028654771535127653,0.01690461539961722
100.0,0.08336345619486918,0.02864932670674972,0.016902531928904962
100.0,0.10694488000533925,0.028640370080890157,0.016899104236459756
100.0,0.13719689515536607,0.02862564118286353,0.016893466342992863
100.0,0.1760064440610224,0.0286014322823715,0.016884196584622594
100.0,0.22579423766059042,0.028561674999869932,0.016868964779144634
100.0,0.2896657450965321,0.028496472823533157,0.016843961695856835
100.0,0.37160489457864476,0.02838978121691718,0.016802987199849156
100.0,0.47672256734667207,0.028215840648238608,0.016736021243584566
100.0,0.611575384321278,0.027933956204206467,0.016627058814266682
100.0,0.7845746694759025,0.027481540416637584,0.01645102120787248
100.0,1.0065110986544394,0.026766575729858744,0.016169829205642205
100.0,1.2912277583359881,0.0256638256196412,0.015728574004386285
100.0,1.6564835957857595,0.02402497760413988,0.015054571019032747
100.0,2.1250611175238725,0.021718616718570522,0.014064772250580618
100.0,2.7261874278143234,0.01870906793162785,0.012688291013253961
100.0,3.4973572431802777,0.015146178471254636,0.010906175284316401
100.0,4.486671591847214,0.011388623890859394,0.00879873690664039
100.0,5.755838072402239,0.007900636339194191,0.006574737753201061
100.0,7.384019810122833,0.005067314754309173,0.0045334342139847555
100.0,9.472773186187043,0.003045213096018729,0.0029230177454967225
100.0,12.152382326213091,0.0017488537346547948,0.0018039118594109962
