theta,f,delta f,Q,source,z,f raw,delta f raw,fz,delta fz,pred,predz,predNNLL,predzNNLL,predNLO,predzNLO,cost
0.02617993877991494,0.970151663803457,0.22876030657744964,91.3,OPAL,0.00017133751222137006,0.933,0.22,74.12259461212047,17.477996585923364,0.9033180460672181,69.01629903097073,9.780016462409494,747.2235760551197,3.1504704876681933,240.70571180527085,0.08535492810249597
0.04363323129985824,1.3403274326287844,0.09150412263097984,91.3,OPAL,0.0004758892090711009,1.289,0.088,61.455582647358895,4.195571197026829,1.2560175802105205,57.589877165889234,4.611432897901928,211.43959951929995,1.830107410114226,83.91256827089684,0.8489367526375625
0.061086523819801536,1.4380704727118765,0.1757295082344954,91.3,OPAL,0.00093260078906654,1.383,0.169,47.11236284008994,5.757042169179466,1.3990303254679541,45.83337574092661,2.852241907742436,93.44177369268243,1.278807064401469,41.89476354864505,0.049355267102397384
0.07853981633974483,1.3933582309717387,0.16325167333027088,91.3,OPAL,0.001541333133436018,1.34,0.157,35.51808029511202,4.161446721143722,1.4000169473644513,35.68781756600308,2.0076803120561517,51.17775812814092,0.978041890553157,24.931255744923206,0.0016636645122806942
0.09599310885968812,1.3080930257928711,0.0904643030556278,91.3,OPAL,0.0023019008164105736,1.258,0.087,27.295795408708514,1.8877060417787286,1.3243117469382033,27.63422920924464,1.5238051403991868,31.797030130837683,0.7893143776959927,16.470513443554903,0.03214243174580639
0.11344640137963141,1.1947526920794984,0.06030953537041854,91.3,OPAL,0.0032140721617062717,1.149,0.058,21.108105544229925,1.0655092441821894,1.2157534926701106,21.479133890362725,1.2148445028404564,21.46307445530962,0.6601460959908761,11.663027471010343,0.12125502265017846
0.1308996938995747,1.0782928996400694,0.03639368513732154,91.3,OPAL,0.004277569313094809,1.037,0.035,16.52224555546976,0.5576457034150837,1.0992468557043287,16.84331454105594,1.0025560252051922,15.361760090495896,0.5663353419090067,8.677727163820622,0.331497296616363
0.148352986419518,0.970151663803457,0.02183621108239292,91.3,OPAL,0.0054920683190415875,0.933,0.021,13.127062159157834,0.2954644215887615,0.9873542260196791,13.359828964529077,0.8487604734110955,11.484525469989693,0.495195419875904,6.700458598562155,0.6206284882796153
0.16580627893946132,0.8724086237203648,0.02287603065774496,91.3,OPAL,0.006857199231384281,0.839,0.022,10.571599862609274,0.2772052407358808,0.8854983474456908,10.730217416097151,0.7327926861011966,8.879773593562721,0.4394436632171464,5.325053470791886,0.32741579069793775
0.1832595714594046,0.7881832381168492,0.025995489383801095,91.3,OPAL,0.008372546218022692,0.758,0.025,8.650160126443755,0.2852955186821819,0.7952814241711241,8.72806135931375,0.6425690834900621,7.052072659869499,0.39460542745216004,4.330719011965245,0.07455877464056536
0.20071286397934787,0.7174755069929102,0.020796391507040875,91.3,OPAL,0.010037647689585205,0.69,0.02,7.197501534941136,0.20862323289684453,0.7164347023946753,7.187060491838819,0.5705879994578569,5.723969615533509,0.3577819793698389,3.589162724845658,0.0025047387521023538
0.2181661564992912,0.6509270541703794,0.014557474054928613,91.3,OPAL,0.011851996440033319,0.626,0.014,6.014860610096364,0.13451764942707523,0.6478966512724362,5.986858315666012,0.511964136840277,4.7307803550849785,0.32701412486234455,3.021758530357235,0.043333991694503825
0.23561944901923448,0.5906175187999608,0.013517654479576568,91.3,OPAL,0.013815039801161721,0.568,0.013,5.060006410446606,0.11581000587289768,0.588368660047231,5.040739728807831,0.4633891830203862,3.970001163153654,0.30093081667517335,2.578169141631988,0.027677169605497532
0.2530727415391778,0.5399783054803163,0.009566340093238803,91.3,OPAL,0.01592617981094613,0.5193,0.0092,4.313270203182088,0.0764145693612078,0.5365752283205893,4.286086904958425,0.4225485685100311,3.3752581010275415,0.27854430511943057,2.224972446752299,0.12654703075890603
0.27052603405912107,0.49204262305658714,0.0046791880890841965,91.3,OPAL,0.018184773395688525,0.4732,0.0045,3.6824248843100262,0.03501883343067438,0.4913686577474564,3.677380958216617,0.38777771210270945,2.9021109751778646,0.2591252232849513,1.9392815290051777,0.020745985968177658
0.28797932657906433,0.45024187612743494,0.012477834904224525,91.3,OPAL,0.020590132565903474,0.433,0.012,3.1705461308564047,0.08786732926160937,0.4517568852765199,3.181214632945011,0.3578508649897937,2.51994036000303,0.24212346972654925,1.7050027348272725,0.014741851796412946
0.0942477796076938,0.5668232227015605,0.006996600975627745,34.8,TASSO2,0.002219017698460002,0.5413110182080944,0.006681690245614515,12.046188114818692,0.1486925167162947,0.506808542537653,10.770749674841879,2.83282132453394,60.20342357951128,1.0495189490294072,22.304489625209996,73.57678030386498
0.15707963267948966,0.6722650929579473,0.005897062218929362,34.8,TASSO2,0.006155829702431115,0.6420070445251075,0.005631640741448311,8.5948463183616,0.0753933887575579,0.6137658700939982,7.8469392270578435,1.3080459414384464,16.72324498443551,0.6050335919913152,7.7352978684807905,98.4076301992846
0.2199114857512855,0.6523801420699186,0.005253761648322173,34.8,TASSO2,0.012041619030626283,0.6230170974285254,0.005017294552120477,5.981208841432926,0.048167998372884206,0.5967270965118182,5.470965707592866,0.8025347192071259,7.35786920620907,0.42013145872704033,3.8518860913350235,112.21144099133292
0.2827433388230814,0.5582796705190882,0.004382101024482638,34.8,TASSO2,0.019853157161528467,0.533152003640967,0.004184866590588438,4.002132386547031,0.03141391198231578,0.5326579359482294,3.818458183203387,0.5623404172221929,4.03124260988536,0.31944121967035083,2.289974216062886,34.18631457141853
0.0942477796076938,0.7398818299551343,0.020164288106993156,43.5,TASSO3,0.002219017698460002,0.7078827327818646,0.019292204230295432,15.724048255991306,0.4285336203773222,0.6822839173605969,14.499971220424971,2.409613686064172,51.20936931275589,0.9816784386097652,20.862735798637154,8.159202294123876
0.15707963267948966,0.7553973555324797,0.014061509215539662,43.5,TASSO3,0.006155829702431115,0.7227272284858667,0.013453363993459854,9.65768451777185,0.1797750797680474,0.7404778624384105,9.4669401943872,1.1408832904328972,14.586086130565816,0.5664366984743082,7.241840195875448,1.1257559833133726
0.2199114857512855,0.5971429422874277,0.011172204723972491,43.5,TASSO3,0.012041619030626283,0.5713171492175448,0.010689018828430583,5.474778301308327,0.10242998730970142,0.6587575991567123,6.0396792028886885,0.709898829747897,6.508556718999488,0.3935796215389053,3.6084512086574634,30.415173480811625
0.2827433388230814,0.5365487962250692,0.008456475592677721,43.5,TASSO3,0.019853157161528467,0.5133436351121818,0.008090742075137648,3.8463505438745025,0.060621829224109,0.5515292115903466,3.953740457323363,0.5020083391878717,3.5987408080118777,0.29940101287909937,2.146312240053991,3.13811540728703
0.0942477796076938,1.0362800361996414,0.04789906150843568,53.3,TOPAZ1,0.002219017698460002,0.993,0.04589856642641467,22.023134825343206,1.0179560087602229,0.8653233065217926,18.389944012556303,2.109328979169008,44.82768641341766,0.9265764602941082,19.69170262690956,12.738503012879733
0.15707963267948966,0.8755679258524663,0.037947969831558126,53.3,TOPAZ1,0.006155829702431115,0.839,0.03636308017756471,11.194054016514752,0.48516124399823146,0.8382607296662282,10.717085003623076,1.0187886328483622,13.025117356157496,0.535062600829118,6.840725292748166,0.9665139542682725
0.2199114857512855,0.6699816548239373,0.031036130594503,53.3,TOPAZ1,0.012041619030626283,0.642,0.029739912575527185,6.142584574564374,0.28454817482138056,0.6879285263394495,6.307126656185763,0.6409867518639313,5.876750961985941,0.3719843881569017,3.410459895759095,0.33438159575806137
0.2827433388230814,0.4946593526270191,0.022875271834738104,53.3,TOPAZ1,0.019853157161528467,0.474,0.021919890510675458,3.546058221350357,0.1639856707942624,0.5462294771310651,3.9157483181865955,0.456552158255641,3.2728796608408346,0.28309456299522573,2.0294163997860166,5.08234137252457
0.0942477796076938,1.081339007945561,0.05160952348187607,59.5,TOPAZ2,0.002219017698460002,1.037,0.04949333692528722,22.98073294089789,1.0968111458379035,0.969016030329708,20.593632935488372,1.9724256184078448,41.9182014607375,0.8990497334291725,19.10670166590476,4.736717863283785
0.15707963267948966,0.8863434491357057,0.03963848407358131,59.5,TOPAZ2,0.006155829702431115,0.85,0.03801315561749643,11.331818073565328,0.5067743104230558,0.8794117550380367,11.243197013035138,0.9620012375414556,12.299095820017078,0.5193805226851722,6.640231390846014,0.030580508532284095
0.2199114857512855,0.6819630773350019,0.032532440825850634,59.5,TOPAZ2,0.012041619030626283,0.654,0.031198487142808706,6.252433703369467,0.2982667775318595,0.6919376071544072,6.343883062566193,0.6085348173483044,5.57922228946901,0.3611858298399055,3.3114556062118745,0.09400513317537633
0.2827433388230814,0.4900957895220961,0.023834240862896407,59.5,TOPAZ2,0.019853157161528467,0.47,0.02285694642772739,3.513343464455696,0.17086021989206385,0.5356273524069001,3.8397450012731578,0.43496229209918863,3.1181086614139453,0.2749380150125277,1.9709446578119112,3.64940840465629
