z,fz,delta fz sys,delta fz stat,theta,delta fz,f,delta f,Q,f raw,delta f raw,pred,predz,predNNLL,predzNNLL,predNLO,predzNLO,cost
9.3073229e-06,14.906992237213103,1.9635661,0.2828093,0.006101590538724034,2.0628368997002573,0.04547789921060973,0.006293254005882115,91.2,0.04373604278707599,0.006052215059375152,0.045290062023822124,14.845421946282654,18.202150287639377,5966.399454421688,2.8494444790548163,934.0063518090193,0.0008908665010975556
1.0612421e-05,14.47294720786166,1.830893,0.2807494,0.006515353725270906,1.926063483326729,0.047147851681795784,0.0062744480538341205,91.2,0.045342034136719014,0.0060341293971590115,0.04831675953599146,14.831766137275594,16.392323097001757,5031.9413999666995,2.6585103593315993,816.0812997767126,0.03470639436444636
1.2100524e-05,15.941465672725954,1.5865485,0.2813596,0.006957175521114951,1.6754763147558656,0.05545334002717988,0.005828244384617851,91.2,0.05332941262047571,0.005605015847339624,0.05153912031337403,14.816224178299123,14.765028935498886,4244.581152671664,2.480335044550306,713.035066060542,0.4510398270441827
1.3797293e-05,14.734674362221883,1.4063232,0.2569144,0.007428958596077972,1.486533801908805,0.0547311394485507,0.00552164824326573,91.2,0.052634873163815675,0.005310162694725212,0.05496836521944717,14.798540097883613,13.301767474564228,3581.0913888234154,2.3140680866934913,622.9915922267782,0.0018458068795620568
1.5731987e-05,14.64175306862398,1.2988255,0.2254113,0.007932734585037978,1.3707414607196238,0.05807396138966023,0.005436807074394886,91.2,0.05584966113739548,0.005228571041279287,0.05861604494083248,14.778424535644657,11.985909016501044,3021.917498361803,2.158915605346459,544.3112271502417,0.009941332834371439
1.793797e-05,15.301142760594754,1.3389333,0.2391774,0.008470673469787712,1.414297241507516,0.06480471703196745,0.005989953428251274,91.2,0.062322621011773875,0.005760531246559264,0.062493978819174435,14.755550759030019,10.802505450709624,2550.596401676669,2.014136366933536,475.5608773749175,0.14881770445271725
2.0453281e-05,14.171262742007023,1.5409278,0.1811839,0.009045091585399439,1.6133357679653655,0.06408931078568503,0.007296285399345458,91.2,0.06163461565663096,0.007016829184098375,0.06661415791421375,14.729550412808042,9.738124431147485,2153.2689029786334,1.879038669292185,415.4881735891362,0.11974752595255067
2.3321297e-05,15.864780855035832,1.6697348,0.2022269,0.009658463293206356,1.7489221421907193,0.07661351059838288,0.00844581884242942,91.2,0.07367912405279393,0.008122334159582507,0.07098864398105649,14.700008799484399,8.780693410147412,1818.26646004375,1.7529766177688137,362.9985059774973,0.44354831449471877
2.6591473e-05,14.362978061686013,1.5271662,0.1557275,0.010313429828234836,1.5962227406650196,0.07406447016499969,0.008231119691538441,91.2,0.07122771483214935,0.007915858235832579,0.0756294122413663,14.666459996554222,7.9193659092763715,1535.7657803262448,1.635347497692976,317.1353306149373,0.036147536183097906
3.0320202e-05,14.948829555140033,1.5321033,0.1673242,0.011012812255400033,1.6025943566817202,0.08231266279963166,0.00882435701066493,91.2,0.07915999209750178,0.008486373875793218,0.08054818157189989,14.628381543504034,7.144395408657203,1297.495981857842,1.52558857738136,277.0626394392938,0.03998231570770618
3.4571784e-05,15.383834032464534,1.5597732,0.1800207,0.011759622852814709,1.632660129136309,0.09045195834466864,0.009599512428435918,91.2,0.0869875431584212,0.009231839939677638,0.08575618459700592,14.585189035605765,6.447025545844099,1096.4933520001614,1.4231746161423684,242.04984054102647,0.23928527638157826
3.9419535e-05,14.862373383220348,1.5335366,0.1578914,0.012557078159738196,1.6030417046088874,0.09331153983048086,0.010064495488884223,91.2,0.08973759934807553,0.009679013608207346,0.09126389333869761,14.536230584880386,5.819389897014131,926.8944191585582,1.3276153536837851,211.45846624748467,0.0413929085705947
4.4947051e-05,15.562997397692051,1.7374166,0.1688752,0.013408612818424922,1.8151259949536451,0.10433597669117119,0.012168796194048544,91.2,0.10033978745728536,0.011702717149387408,0.09708068607294187,14.480781343442406,5.254421924231336,783.7618176061796,1.2384531835829333,184.73056259697213,0.3554793615475314
5.124965e-05,15.169314276352111,1.822387,0.152519,0.014317894472691153,1.9015913231332948,0.1085926101416488,0.013612926823177034,91.2,0.10443338689680291,0.013091535896119572,0.10321444872828993,14.418038286192438,4.745773892749714,662.9377042298094,1.1552609711601871,161.37853874102072,0.15608624937007515
5.8436016e-05,14.408023036605783,1.5932657,0.1303491,0.015288839627838195,1.662255209816435,0.11013668594707855,0.012706481627792874,91.2,0.10591832280336322,0.01221980860577428,0.10967110160792304,14.347115539468465,4.287743999249561,560.9204034515857,1.0776400263860817,140.97629860408003,0.001342598326044021
6.6630075e-05,14.753874863757929,1.4019209,0.132477,0.016325630757583625,1.4642487426513497,0.12042780694028599,0.011951861224316972,91.2,0.11581528189554775,0.011494091041258396,0.11645404524274784,14.267040599201879,3.8752107733205046,474.760574595593,1.005218201993257,123.15148751595322,0.11054333305037786
7.5973127e-05,14.380589604245543,1.3350316,0.1196605,0.01743273369841265,1.393766404304588,0.1253401457907441,0.012147963965413736,91.2,0.12053947245574254,0.011682682819333975,0.12356351222034809,14.176751974316147,3.503574403565431,401.97388735871766,0.9376481757302539,107.57872925134276,0.021388914190043355
8.6626288e-05,13.842975561236255,1.4787944,0.109425,0.018614917618600447,1.5418937061691993,0.12883548395886785,0.01435028335986606,91.2,0.1239009351074891,0.013800650820021727,0.13099583525911565,14.075098648246689,3.1687034306144195,340.46741474425676,0.8746057505155124,93.97369154889248,0.022663542978681898
9.8773264e-05,14.348418826030258,1.605298,0.1155346,0.019877275087282098,1.673549064797789,0.14259434362175036,0.016631702301629737,91.2,0.1371328144458561,0.015994688763378256,0.1387426139636397,13.96084222982379,2.8668872755029318,288.47777766732094,0.8157883490764876,82.0879188377552,0.05363375326483789
0.00011262352,14.647711898746888,1.4165411,0.1168478,0.0212252442410527,1.4779597854241473,0.15543895953827294,0.015683851025592072,91.2,0.1494854666364729,0.015083141293417363,0.1467897970515287,13.832662437224439,2.594793314619453,244.51903835590056,0.7609135632264186,71.70430558141486,0.3041183987128226
0.0001284159,14.544096612806822,1.3520988,0.1061772,0.022664633000129535,1.4102765498129297,0.16480419558816595,0.015980331988727073,91.2,0.15849200325533305,0.01536826669090276,0.15511668986894683,13.689166805864703,2.349428252942487,207.3388445828325,0.7097177878594462,62.63313890533333,0.3674957736479343
0.00014642273,14.012244248803396,1.3474885,0.099144,0.024201642679516234,1.4049418361916257,0.16954311230804095,0.016999290569748915,91.2,0.1630494139542092,0.016348197973380132,0.16369489195990136,13.528905876495674,2.1281037964720273,175.88157830200208,0.6619550266333998,54.708654268761144,0.11835479575394783
0.00016695453,13.96335441117074,1.4723015,0.0920386,0.02584289628498224,1.5339266947684054,0.1804066774288256,0.019818348104174932,91.2,0.1734968918982207,0.019059282326109456,0.17248722769081676,13.350394375493028,1.928405278502335,149.25725996325062,0.6173956671354514,47.786005678945266,0.15968168577137315
0.00019036536,14.022028392899735,1.4331986,0.0893517,0.02759546635832331,1.4931713816444738,0.19344765216843515,0.020599765595289032,91.2,0.1860383821406653,0.019810770618646126,0.1814466858498357,13.152139880036755,1.7481638585019619,126.71543430267289,0.5758254192426079,41.738632066431016,0.3393969042282958
0.00021705891,13.708538880016457,1.4576896,0.082948,0.029466904599916025,1.5181964064150613,0.2019448759923648,0.02236503742003286,91.2,0.1942101524111805,0.021508430479763984,0.1905154448778964,12.932679626152131,1.585431474780865,107.62317640808598,0.537044311612636,36.45595259526091,0.2611619908837757
0.00024749551,13.330853490404591,1.4722273,0.0753645,0.03146527805087297,1.5328655558999935,0.20969489998276764,0.024112041262987664,91.2,0.20166334147067091,0.02318852204403818,0.19962408526358827,12.690625446892694,1.4384579842705298,91.44653800349454,0.5008656669693324,31.841341040200078,0.1744460963842649
0.00028220001,13.131235592801637,1.4170366,0.0694422,0.033599199967335104,1.4752405225434617,0.22055800156684363,0.024778787889616325,91.2,0.21211037363196875,0.023829731499543694,0.2086910272489772,12.424718330065177,1.305671281522721,77.73500431918808,0.4671153021900203,27.810376583417405,0.2293611665654351
0.00032177087,12.70806777323341,1.2921357,0.0640436,0.03587786995283709,1.3452463594449913,0.22792029679605177,0.02412711003590263,91.2,0.21919068439268682,0.023203013665427846,0.2176223774202209,12.13389048761652,1.185658872609651,66.10834366603885,0.43563064286921704,24.289296791470083,0.18217482663078158
0.00036689046,12.151721878521666,1.1206422,0.0580902,0.03831111266034707,1.166838040900057,0.23271605537331957,0.022345964535095842,91.2,0.2238027598397193,0.02149008810849887,0.22631224642614897,11.817334527531326,1.0771516359679887,56.24556965044823,0.40625997245837175,21.213655361124662,0.08212559382767841
0.00041833685,11.86551377535458,1.1832456,0.0536308,0.04090942181252881,1.2316333794278556,0.24263796177368974,0.025185678302234827,91.2,0.23334464568731175,0.02422103753620825,0.234643691409427,11.474576906129059,0.9790090964061802,47.875632628499076,0.37886169360581345,18.52714476981483,0.10075123078396556
0.0004769972,11.419733159389152,1.2461156,0.0485276,0.04368400445973954,1.2967262736965155,0.2493505138635345,0.02831409089631198,91.2,0.23980009922645493,0.02722962829007195,0.24249036156986162,11.105552500955095,0.8902063258118877,40.76959192927768,0.3533036717197528,16.18057084686856,0.05870326681005179
0.00054388305,11.066703721395319,1.1320914,0.0442484,0.04664682975448178,1.1780775461641113,0.25801972645503396,0.0274668278700206,91.2,0.2481372708947457,0.02641481642292347,0.24971893777280657,10.710675249222936,0.8098221071181539,34.734016075606235,0.32946260166128494,14.130954442744667,0.09133173420847707
0.00062014783,10.474667963418739,1.0588536,0.0391477,0.049810684269955774,1.101776348232465,0.26076732633680494,0.02742877135132946,91.2,0.2507796345060109,0.02637821751315205,0.25619238984682685,10.29089900217873,0.7370282472427803,29.60541981228647,0.3072233965209045,12.340744963553396,0.027820019535549634
0.00070710666,10.027857919152314,1.0336921,0.0352629,0.053189224077515564,1.0754857512391942,0.2665612616512777,0.028588641866450177,91.2,0.2563516553604881,0.027493663638793513,0.2617739869798272,9.847763820227826,0.671080165419437,25.2455908615523,0.2864786713959782,10.777137667455305,0.028040751167022815
