#: table_doi: 10.17182/hepdata.1698.v1/t7
#: name: Table 7
#: description: Correlation function binned in intervals of chi. Note the function is still given as dsigma/dcos(chi).

#: data_file: Table7.yaml
#: keyword reactions: E+ E- --> HADRONS
#: keyword observables: CORR | DSIGMA/DCOSCHI
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | E+ E- Scattering
#: keyword cmenergies: 34.8
#: RE,,,E+ E- --> HADRONS
#: SQRT(S) [GeV],,,34.8
#: SQRT(S),,,34.8
THETA [DEGREES],THETA [DEGREES] LOW,THETA [DEGREES] HIGH,D(SIGMA)/D(COS(CHI)),error +,error -
1.8,0.0,3.6,60.19,0.316,-0.316
5.4,3.6,7.2,5.752,0.071,-0.071
9.0,7.2,10.8,4.104,0.036,-0.036
12.600000000000001,10.8,14.4,2.856,0.023,-0.023
16.2,14.4,18.0,1.911,0.015,-0.015
19.8,18.0,21.6,1.318,0.01,-0.01
23.4,21.6,25.2,0.937,0.007,-0.007
27.0,25.2,28.8,0.691,0.005,-0.005
30.6,28.8,32.4,0.526,0.004,-0.004
34.2,32.4,36.0,0.413,0.003,-0.003
37.8,36.0,39.6,0.334,0.003,-0.003
41.400000000000006,39.6,43.2,0.276,0.003,-0.003
45.0,43.2,46.8,0.239,0.002,-0.002
48.599999999999994,46.8,50.4,0.201,0.002,-0.002
52.2,50.4,54.0,0.179,0.002,-0.002
55.8,54.0,57.6,0.158,0.002,-0.002
59.400000000000006,57.6,61.2,0.147,0.001,-0.001
63.0,61.2,64.8,0.137,0.001,-0.001
66.6,64.8,68.4,0.129,0.001,-0.001
70.2,68.4,72.0,0.122,0.001,-0.001
73.8,72.0,75.6,0.117,0.001,-0.001
77.4,75.6,79.2,0.114,0.001,-0.001
81.0,79.2,82.8,0.112,0.001,-0.001
84.6,82.8,86.4,0.11,0.001,-0.001
88.2,86.4,90.0,0.111,0.001,-0.001
91.8,90.0,93.6,0.111,0.001,-0.001
95.4,93.6,97.2,0.113,0.001,-0.001
99.0,97.2,100.8,0.116,0.001,-0.001
102.6,100.8,104.4,0.12,0.001,-0.001
106.2,104.4,108.0,0.127,0.001,-0.001
109.8,108.0,111.6,0.132,0.001,-0.001
113.4,111.6,115.2,0.145,0.001,-0.001
117.0,115.2,118.8,0.155,0.002,-0.002
120.6,118.8,122.4,0.168,0.002,-0.002
124.2,122.4,126.0,0.19,0.002,-0.002
127.8,126.0,129.6,0.217,0.002,-0.002
131.39999999999998,129.6,133.2,0.255,0.003,-0.003
135.0,133.2,136.8,0.294,0.003,-0.003
138.60000000000002,136.8,140.4,0.347,0.003,-0.003
142.2,140.4,144.0,0.432,0.004,-0.004
145.8,144.0,147.6,0.537,0.005,-0.005
149.39999999999998,147.6,151.2,0.697,0.006,-0.006
153.0,151.2,154.8,0.89,0.007,-0.007
156.60000000000002,154.8,158.4,1.227,0.009,-0.009
160.2,158.4,162.0,1.694,0.012,-0.012
163.8,162.0,165.6,2.443,0.018,-0.018
167.39999999999998,165.6,169.2,3.631,0.027,-0.027
171.0,169.2,172.8,5.566,0.047,-0.047
174.60000000000002,172.8,176.4,8.011,0.089,-0.089
178.2,176.4,180.0,12.173,0.222,-0.222

